My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
25,1 - 4 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth,Facilitation|Mentoring|Research|UI design|UX design,"Happy, but there's room for improvement",Research|Service design|Social impact design|UI design|UX design,41 - 50 hours
31,10 - 14 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm in the position to scale my business|I have a manageable workload,Art direction|Leadership|Mentoring|Project management|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Strategy,40 hours
27,5 - 9 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Drawing / Painting|Photography|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Education|Illustration|Research|Social impact design,41 - 50 hours
31,5 - 9 years,"$100,000 to $149,999",There's flexibility over where and when I work,Business operations|Data analysis|Project management|SEO / Social Media|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Research|Strategy|UX design,41 - 50 hours
30,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Coding|Copywriting|Leadership|Project management,"Happy, but there's room for improvement",Communication / Graphic design,61 + hours
29,5 - 9 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with,Art direction|Leadership|Photography|Public speaking,"Not really satisfied, but I deal",Communication / Graphic design|Packaging design|Social impact design|UI design|UX design,51 - 60 hours
26,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Leadership|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Motion graphics|Strategy,41 - 50 hours
30,1 - 4 years,"$50,000 to $74,999",My role is valued|I feel creatively satisfied|The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side),Business development,"Happy, but there's room for improvement",Communication / Graphic design|Education|Motion graphics|Social impact design|UI design,41 - 50 hours
45,15 - 20 years,"$100,000 to $149,999",I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with,Art direction|Facilitation|Leadership|Project management|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Education|Environmental design|Service design|Strategy,40 hours
31,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have a manageable workload,Coding|Leadership|Research|UI design|UX design,Extremely satisfied with my work situation,Interaction design|Research|Strategy|UI design|UX design,Less than 40 hours
31,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems|There's flexibility over where and when I work|I have no problem acquiring new client work,Drawing / Painting|Leadership|Public speaking,Extremely satisfied with my work situation,Animation|Communication / Graphic design|Illustration,40 hours
64,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Art direction|Data visualization|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Motion graphics|Packaging design|UI design,40 hours
31,5 - 9 years,"$35,000 to $49,999",My role is valued|I feel creatively satisfied|I'm solving worthwhile problems|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Facilitation|Project management","Happy, but there's room for improvement",Communication / Graphic design|Motion graphics,40 hours
35,10 - 14 years,"$75,000 to $99,999",I have the opportunity to learn new skills|Benefits are sufficient (and maybe some perks on the side),Data visualization|Film / Video|Mentoring|Photography|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Motion graphics,41 - 50 hours
24,1 - 4 years,"$75,000 to $99,999",There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Art direction|Data visualization,Ready to call it quits,Communication / Graphic design|Illustration,40 hours
52,15 - 20 years,"$100,000 to $149,999",I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Facilitation|Leadership|Photography|Public speaking|Research,Extremely satisfied with my work situation,Experience design|Research|Service design|UX design,40 hours
35,1 - 4 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I have a manageable workload,Data visualization|Project management|UI design|UX design,"Not really satisfied, but I deal",Experience design|Interaction design|UI design|UX design,40 hours
33,10 - 14 years,"$100,000 to $149,999",My role is valued|I respect the people I work with,Leadership|Mentoring|Public speaking|UI design|UX design,Ready to call it quits,UX design,41 - 50 hours
26,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Leadership|Mentoring|Project management|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
35,10 - 14 years,"$35,000 to $49,999",I have the opportunity to learn new skills|My role is valued,Art direction|Business operations|Film / Video|Photography|Project management,Not sure,Communication / Graphic design|Service design|Strategy,40 hours
28,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Drawing / Painting|Research|UI design|UX design,Extremely satisfied with my work situation,Illustration|Interaction design|UI design|UX design,41 - 50 hours
30,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Copywriting|Film / Video|Photography|Project management",Extremely satisfied with my work situation,Education|Experience design|Illustration|Interaction design|Motion graphics,40 hours
26,Less than 1 year,"$25,000 to $34,999",I have the opportunity to learn new skills|There's flexibility over where and when I work,Facilitation|Mentoring|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Strategy,41 - 50 hours
22,1 - 4 years,"$35,000 to $49,999",The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business|I have no problem acquiring new client work,Data visualization|Film / Video|SEO / Social Media|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Interaction design|Motion graphics|Strategy|UI design,41 - 50 hours
27,1 - 4 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Data analysis|Facilitation|Leadership|Mentoring|Research,"Happy, but there's room for improvement",Experience design|Research|Social impact design|Strategy,41 - 50 hours
27,Less than 1 year,"$35,000 to $49,999",I respect the people I work with|I have a manageable workload,Drawing / Painting,"Not really satisfied, but I deal",Communication / Graphic design,40 hours
34,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Data visualization|UI design|UX design,Extremely satisfied with my work situation,Communication / Graphic design|Interaction design|UI design|UX design,40 hours
29,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Data visualization|Project management|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Illustration|Interaction design|UI design,40 hours
26,1 - 4 years,"$50,000 to $74,999",There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems,Art direction|Data visualization|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|UI design|UX design,40 hours
25,1 - 4 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Data visualization|Drawing / Painting|Research|UI design|UX design,Extremely satisfied with my work situation,Experience design|Illustration|Research|UI design|UX design,41 - 50 hours
24,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|UX design","Happy, but there's room for improvement",Communication / Graphic design|UX design,40 hours
30,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|My role is valued|I respect the people I work with|I have a manageable workload,Art direction|Facilitation|Mentoring|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Service design|UX design,40 hours
51,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Leadership|Mentoring|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Education,40 hours
27,5 - 9 years,"$50,000 to $74,999",I have a manageable workload,Art direction|Data visualization|Leadership|Project management|SEO / Social Media,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Research|Strategy|UX design,41 - 50 hours
39,1 - 4 years,"$75,000 to $99,999",My role is valued|The standard of work is pretty high|I'm solving worthwhile problems,Copywriting|Facilitation|Research|UI design|UX design,"Not really satisfied, but I deal",Research|Strategy|UI design|UX design,40 hours
30,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Coding|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design,40 hours
24,1 - 4 years,"Less than $25,000",I respect the people I work with|There's flexibility over where and when I work|I have no problem acquiring new client work|I have a manageable workload,Drawing / Painting|Photography,"Not really satisfied, but I deal",Communication / Graphic design|Illustration,Less than 40 hours
27,5 - 9 years,"$50,000 to $74,999",I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I have no problem acquiring new client work,Art direction|Business development|Drawing / Painting|Photography|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design|Experience design|Illustration|Social impact design,41 - 50 hours
31,1 - 4 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems|I have a manageable workload,Photography|Research|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Service design|UI design|UX design,Less than 40 hours
42,10 - 14 years,"$50,000 to $74,999",I have the opportunity to learn new skills|I respect the people I work with|I have a manageable workload,Photography,"Not really satisfied, but I deal",Communication / Graphic design,40 hours
27,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Drawing / Painting|Film / Video","Not really satisfied, but I deal",Animation|Illustration|Motion graphics,40 hours
43,15 - 20 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth,Art direction|Leadership|Project management|Public speaking|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Experience design|Interaction design|Strategy|UX design,40 hours
27,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|My role is valued|I respect the people I work with|I'm solving worthwhile problems|I have no problem acquiring new client work|I have a manageable workload,Art direction|Copywriting|Drawing / Painting|Writing (published articles),"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Packaging design,40 hours
31,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Drawing / Painting|Film / Video|UX design,"Not really satisfied, but I deal",Animation|Illustration|Interaction design|Strategy|UX design,Less than 40 hours
24,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|UI design|UX design,"Not really satisfied, but I deal",Experience design|Interaction design|Strategy|UI design|UX design,40 hours
23,1 - 4 years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|There's room to grow in my role|There's flexibility over where and when I work,Art direction|Business development|Drawing / Painting|Leadership|Photography,"Not really satisfied, but I deal",Communication / Graphic design|Illustration|Service design,Less than 40 hours
27,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Coding|Film / Video|Photography","Not really satisfied, but I deal",Animation|Communication / Graphic design|Illustration|Motion graphics,41 - 50 hours
49,20+ years,"Less than $25,000",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|The standard of work is pretty high|There's flexibility over where and when I work|I'm paid what I'm worth,Art direction|Data visualization|Drawing / Painting|Project management|SEO / Social Media,"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Illustration|Packaging design|Social impact design,Less than 40 hours
34,5 - 9 years,"$35,000 to $49,999",There's flexibility over where and when I work|I have a manageable workload,Business development|Business operations|Leadership|Project management|Research,"Happy, but there's room for improvement",Animation|Communication / Graphic design|Education|Illustration,Less than 40 hours
53,20+ years,"$150,000 to $199,999",I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work,Coding|Facilitation|Leadership|Research|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Research|Service design|Strategy|UX design,51 - 60 hours
23,Less than 1 year,"$50,000 to $74,999",I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),"3D / Animation software (Rhino, After Effects, Unity, etc.)|Coding|SEO / Social Media|UI design|UX design",Ready to call it quits,Communication / Graphic design|Experience design|Interaction design|UI design|UX design,41 - 50 hours
33,10 - 14 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|Benefits are sufficient (and maybe some perks on the side),Art direction|Photography|Project management|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|Experience design|Strategy|UI design|UX design,40 hours
27,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Drawing / Painting|Mentoring|UI design|UX design,Extremely satisfied with my work situation,Communication / Graphic design|Interaction design|Strategy|UI design|UX design,41 - 50 hours
27,5 - 9 years,"$35,000 to $49,999",I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Drawing / Painting|Facilitation,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Packaging design|Strategy,40 hours
30,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Facilitation|Project management|Research|UI design|UX design,"Happy, but there's room for improvement",Research|Strategy|UI design|UX design,41 - 50 hours
27,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side),Business development|Business operations|Data visualization|Drawing / Painting|Photography,"Happy, but there's room for improvement",Experience design|Illustration|Motion graphics|Service design|Strategy,40 hours
40,15 - 20 years,"$75,000 to $99,999",Benefits are sufficient (and maybe some perks on the side),Art direction|Copywriting|Leadership|Mentoring|Project management,"Happy, but there's room for improvement",Animation|AR / VR design|Communication / Graphic design|Motion graphics,41 - 50 hours
31,5 - 9 years,"$35,000 to $49,999",I have the opportunity to learn new skills|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Copywriting|Data visualization|Drawing / Painting|Photography",Ready to call it quits,AR / VR design|Communication / Graphic design|Illustration|Motion graphics|Packaging design,40 hours
29,10 - 14 years,"$75,000 to $99,999",My role is valued|I respect the people I work with|There's flexibility over where and when I work,Art direction|Drawing / Painting|Leadership|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|UI design,40 hours
36,10 - 14 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|I feel creatively satisfied|I'm solving worthwhile problems|There's flexibility over where and when I work,Art direction|Business operations|Leadership|Project management|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Illustration|Interaction design|Strategy|UI design,40 hours
29,5 - 9 years,"$25,000 to $34,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|There's flexibility over where and when I work,Art direction|Copywriting|Drawing / Painting|Project management|Research,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,Less than 40 hours
34,5 - 9 years,"$100,000 to $149,999",I feel creatively satisfied|The standard of work is pretty high|I'm solving worthwhile problems,Research|UI design|UX design,"Not really satisfied, but I deal",Experience design|Interaction design|Service design|Social impact design|UX design,40 hours
28,5 - 9 years,"$100,000 to $149,999",The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|I'm paid what I'm worth,Business development|Business operations|Leadership|Research,"Happy, but there's room for improvement",Research|Strategy,41 - 50 hours
26,Less than 1 year,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Business development|Drawing / Painting|Research|SEO / Social Media,Extremely satisfied with my work situation,Service design,41 - 50 hours
35,10 - 14 years,"$75,000 to $99,999",My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Coding|Drawing / Painting|Leadership|Mentoring|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Environmental design|Interaction design|Packaging design|UX design,41 - 50 hours
36,5 - 9 years,"$75,000 to $99,999",I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Coding|Research|UI design|UX design","Not really satisfied, but I deal",Communication / Graphic design|Interaction design|Research|UI design|UX design,Less than 40 hours
31,5 - 9 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I'm in the position to scale my business,Facilitation|Leadership|Research|UX design|Writing (published articles),"Happy, but there's room for improvement",Experience design|Research|Service design|Social impact design|Strategy,51 - 60 hours
42,15 - 20 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Art direction|Business operations|Copywriting|Project management|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Environmental design|Experience design|Illustration|Strategy,Less than 40 hours
22,1 - 4 years,"$25,000 to $34,999",My role is valued|I'm paid what I'm worth,Data visualization|Drawing / Painting,"Not really satisfied, but I deal",Communication / Graphic design|Data science|Illustration,41 - 50 hours
24,1 - 4 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|There's flexibility over where and when I work|I have a manageable workload,Photography|Public speaking|UI design|UX design|Writing (published articles),"Happy, but there's room for improvement",Interaction design|UI design|UX design,Less than 40 hours
35,10 - 14 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I respect the people I work with|I'm solving worthwhile problems|I have a manageable workload,Art direction|Leadership|Mentoring|UI design|Writing (published articles),"Happy, but there's room for improvement",Communication / Graphic design|Education|Interaction design|UI design|UX design,Less than 40 hours
44,20+ years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|My role is valued|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Project management|SEO / Social Media,Extremely satisfied with my work situation,Communication / Graphic design,40 hours
28,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|The standard of work is pretty high|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Art direction|Data visualization","Happy, but there's room for improvement",Communication / Graphic design|Motion graphics|Packaging design,40 hours
